kapłan kapłanka
bracia siostry
mistrz mistrzyni
baronowa baronowa
Joseph Josephine
Clarence Clara
klacz ogier
Alexander Alexandra
John Joan
księżna księżna
hostessa
dziadek babcia
buck doe
Chłopcy dziewczyny
Król królowa
bohaterka bohaterki
matki ojców
Książe księżniczka
Christian Christina
cesarzowa cesarzowa
narzeczony narzeczona
guwernantka guwernera
pies gończy
jemu jej
ram ewe
dzika maciora
hrabia hrabia
aktorzy aktorzy
właścicielka gospodyni
dziadek babcia
męska kobieta
czarodziej czarownica
brat siostra
źrebak źrebaczka
sterować jałówką
oblubienica panny młodej
siostrzeniec siostrzenica
Paul Pauline
lew lwica
Cecil Cecilia
kaczor kaczora
zakonnica zakonnica
Pan Pani
Wujek ciocia
kura kura
Charles Charlotte
policjantka policjant
ojczym macocha
dziedzic dziedziczka
wnuk wnuczka
dyrektorka dyrektora
George Georgina
kobieta mężczyzna
pasierbica pasierbicy
William Wilhelmina
Pan młody panna młoda
aktor aktorka
syn córka
matka ojca
Francis Frances
wdowa wdowiec
on ona
suka psa
stewardesa stewardesa
Patrick Patricia
tata mama
kelner kelnerka
Oliver Olive
liczyć hrabinę
proszę pani
jeleń tylna
zakonnik zakonnica
jego Jej
kawaler panna
Robert Roberta
panie tama
beau belle
Henry Henrietta
gęsia skórka
byk krowa
tylne łanie
bogini bogini
panie panienko
chłopak dziewczyna
cielica cielca
żona męża
chłopcze dziewczyno
Victor Victoria
Panna dama
synowie córek

