Haiti haitański
Turcja turecka
Jugosławia Jugosłowiańska
Słowacja słowacka
Kamerun Kamerun
Iran Iranian
Azerbejdżan Azerbejdżański
Szwajcaria Szwajcarska
Maroko Maroka
Brazylia Brazylijczyk
Zambia Zambian
Ghana Ghana
Wenezuela Wenezuelska
Senegalska Senegalska
Laos Laotian
Liban Libański
Rwanda Rwandyjski
Polska Polski
Irlandia Irlandzki
Malawi Malawian
Kongo Kongijski
Chile chilijski
Niemiecki Niemiec
Kanada Kanadyjczyk
Meksyk meksykański
Norwegia norweski
Honduras Honduran
Angola Angolan
Bahrajn Bahrajn
Ekwador Ekwadorski
Kuby Kubańskiej
Fidżi Fidżi
Chorwacja Chorwacka
Gabon Gabonese
Islandia Islandzka
Australia australijska
Tajlandia tajska
India Indian
Węgry Węgierski
Portugalia portugalski
Mauretania Mauretanii
Madagaskar Malagasy
Irak Irakijski
Singapur Singapurski
Armenia Ormianin
Gambia Gambian
Chiny Chiński
Finlandia fińska
Katar Katar
Szkocja szkocka
Egipt egipski
Mongolia Mongolska
Peru Peruvian
Holland Dutch
Nigeria Nigeria
Hiszpania hiszpański
Libia Libijska
Albania Albański
Kenia Kenijski
Afganistan afgański
Pakistan Pakistanu
Kazachstan Kazachstan
Uganda Ugandan
Uzbekistan Uzbek
Indonezja Indonezyjska
Mali Malian
Etiopia Etiopska
Argentyna Argentyńczyk
Kolumbia Kolumbijska
Łotwa Łotewski
Rumunia Rumuński
Wielka Brytania Brytyjska
Burundi Burundian
Szwecja Szwedzka
Panama Panamanian
Tunezja Tunezyjska
Algieria Algierska
Serbia Serb
Ukraina Ukraiński
Słowenia słoweński
Japonia Japończyk
Kambodża Kambodżańska
Somalia Somali
Anglia Angielski
Paragwaj Paragwajski
Jamajka Jamajka
Słowacja słowacka
Zair Zairean
Liberia Liberian
Zimbabwe Zimbabwean
Chad Chadian
Syryjski Syryjski
Walia Welsh
Malta Maltański
Nepal Nepalski
Birma Birmańska
Boliwia Boliwii
Belize Belizean
Macedonia Macedonian
Sudan Sudanese
Dania Duński
Kuwejt Kuwejcki
Bułgaria Bułgarski
Belgia belgijska
Estonia estoński
Gwinea Gwinejska
Bahamy Bahamian
Wietnamski wietnamski
Tadżykistan Tadżykistan
Dominica Dominican
Tanzania Tanzanian
Korea Koreański
Jordan Jordanian
Rosja rosyjski
Grecja grecki
Gruzja gruziński
Holandia holenderski
Serbia Serbski
Litwa Litewski
Słowenia słoweński
Oman Omani
Eritrea Eritrean
Bangladesz Bangladesz
Austria austriacka
Włochy włoskie
Cypr Cypryjczyk
Czarnogóra Czarnogóra
Mozambik Mozambiku
Gwatemala Gwatemalska
Turkmenistan Turkmen
Izrael Izraela
Tajwan tajwański
Mołdawia Mołdawska
Jemen Jemen
Namibia Namibian
Nikaragua Nikaraguan
Urugwaj Urugwajski
Francja francuski
Malezja malezyjska

